,EssayTopic,EssayBody,S1,S2,S3,EssayScore
0,What are the most important challenges or problems of university life?," While time spent at college is a happy experience for most, the university life is not without its rough patches. Starting university is like starting a new life. Everyone’s situation is unique, but there are a few problems that almost all college students deal with at least once during their time at university. In my opinion, homesickness, social problems and time management are among the most important sufferings of university life. The first year of university is always extra hard and most students will at one point get homesick and depressed, especially those who attend a university far away from their hometown. Freshmen suffer more, as it is presumably their first year away from their home, family and friends. If a student is lucky enough, he/she will make many new friends, because establishing connections and spending time with friends is important for building community. Otherwise, it will be more difficult for the student to go through the university period with all its other difficulties. University is academically challenging. The courses require much more effort and planning than high school classes. Most students do not have enough time to manage their activities. They sleep erratically and do everything at the last minute; that is what leads them to an unhealthy and unplanned life. University life has many problems that every student has to deal with in order to get through his/her studies well. If a student is not strong enough to cope with such living conditions, he/she can easily become exhausted, depressed and end up dropping out of university.",7,7.5,7.5,7.5
1,What are the characteristics of bad teachers?," Bad teachers, for sure, are one of the main reasons why students hate school. These kinds of teachers often don’t have organization skills and class management and this way they turn school into a frustrating and embarrassing environment. In my opinion, the inability to communicate with students is another characteristic of bad teachers. If a teacher doesn’t have the ability to teach, all he/she can do is reading from his/her pre-prepared notes without mastering it. This way, he/she isn’t even able to answer the students’ questions. Class management is one of the most important factors that affects class order. If the teacher isn’t able to run the class, chaos will prevent him/her from teaching well. In such a case, the task of establishing classroom order falls to the students who are selected as the group leader by the teacher. Communication is also essential. Bad teachers who aren’t able to establish friendly relation with students, create an unpleasant atmosphere for them. Not being able to establish an intimate relationship, the teacher can’t make a good impression on students and provide a suitable environment for better teaching; so even the smartest students won’t be able to learn subjects well. School is one of the most important organs in which a person spends many hours of the day. Therefore, in the first place, teachers must have the ability of teaching and truly love their job and students in order to make school a good environment for education.",8,8,7.5,8
2,Topic," In some countries the average weight of people is increasing and their levels of health and fitness are decreasing. I think that the causes of these problems are due to unhealthy lifestyle and lack of exercise.  Nowadays people are getting more and more lazy. They want convenience in everything. When they come home from work they will have microwaved dinner of fast food so that they do not have to take the trouble to prepare a meal or wash up after dinner. The introduction of fast food is also the main cause of unhealthy living. People are opting a fast food restaurant meal rather than a simple home cooked meal. Yes, your burgers and pizza tasted better than a home cooked meal but think of all the calories you are swallowing. The oil they used to fry your fries. It is literally black. Eating too much fast food will also lead to health problems. Sugary drinks, chips, candies and chocolate are also some of the causes that contributes to unhealthy lifestyle. Heavy consumption can lead to weight gain and diabetes.  I think the main cause is the lack of exercise. As you grow older, your metabolism rate drops. Even if you are eating the same amount as before, you will still gain weight. The one and only solution to this is exercise. The recommended exercise per day is at least 30 minutes of brisk walking. This target can easily achieved id people do not drive to work. They can take a bus or a train and drip one stop earlier than walk to the office.  Every little bit counts. When you come home from work, you can play with your kids or bring the dog for a walk. Anything to get your attention away from the couch. More exercise will surpress your cravings for sugary stuffs.  People should balance their diet. For example, by eating more vegetables and fruits. Eat less meat and drink plenty of water throughout the day. Organize time with your family to take a walk outdoors to enjoy the sceneries rather than cooping yourself in the house. This is healthy living for the body, heart and soul. It is also less likely to fall sick if you do plenty of exercise as your body is strong enough to fight off illness and diseases.",6.5,6.5,6.5,6.5
3,Topic," According to universities should accept equal numbers of male and female students in every subject. Therefore, this essay will show some reasons of argument for and argument against. Firstly, I will discuss about two reasons of argument for to begin with universities should accept equal numbers of male and female students in every subject because it will be balance of idea while studying. In general, there usually are different ideas between man and woman. These lead to new ideas from different vision will happen. Another reason is it display that have equal of society not accept in each side. In addition, nowadays, the most societies become to accept ability of both in any way. Secondly, I will discuss about one reason of arguments against that is some subjects not suitable for each other, for example, some subjects of sports such as weight putting. It is not suitable for female because there are different of body between male and female. In conclusion, I agree with universities should accept equal numbers of male an female students in every subject. Moreover, it depen on what the subjects that the students want to study, they can choose by themselves because I believe that if the students like to study their subjects, they will do it well so that I strongly agree with this topic.",5,5,5,5
4,Topic," It is quite common these days for young people in many countries to have a break from studying after graduating from high school. This trend is not restricted to rich students who have the money to travel, but is also evident among poorer students who choose to work and become economically independent for a period of time.  The reasons for this trend may involve the recognition that a young adult who passes directly from school to university is rather restricted in terms of general knowledge and experience of the world. By contrast, those who have spent some time earning a living or traveling to other places have a broader view of life and better personal resources to draw on. They tend to be more independent, which is a very important factor in academic study and research, as well as giving them an advantage in terms of coping with the challenges of student life.  However, there are certainly dangers in taking time off at that important age. Young adults may end up never returning to their studies or finding it difficult to readapt to an academic environment. They may think that it is better to continue in a particular job, or to do something completely different from a university course. But overall, I think this is less likely today, when academic qualifications are essential for getting a reasonable career.  My view is that young people should be encouraged to broaden their horizons. That is the best way for them to get a clear perspective of what they are hoping to do with their lives and why. Students with such a perspective are usually the most effective and motivated ones and taking a year off may be the best way to gain this.",8,8,8,8
5,Topic," Today more people are travelling than ever before. The reasons for this increase are many and varied. On a simplistic level, there are larger numbers of means of transportation - there are more cars, buses and trains in operation. However, the sheer number of transportation means is not enough to explain this increase. The cost of travelling; even though it is at present increasing due to an economic slow down globally; is still relatively affordable to many people. This affordability is further enhanced by the use of credit cards and loans in order to fund travel especially for holiday purposes. An increase of travel companies in competition with each other has also helped bring package prices down, while an increase in the number of operating flights globally has also increased, giving rise to falling air-fare prices. In addition, people now have more leisure time and disposable incomes. The combination of these two variables with unrelenting advertising campaigns from travel companies and cruise ship operators arguably leads to an increase in the number of people travelling, in this case for holiday purposes. Another reason why people travel is going to work. More than ever before, people are travelling greater distances to get to work. Large industrial sites for both service and production industries are tending to be located outside city areas. This invariably leads to increases in the number of people travelling locally. In conclusion, there are many reasons why more people are travelling both internationally and locally, for business and for leisure. What is sure is that this increase is likely to continue until travelling at current rates is no longer economically viable.",7,7,7,7
6,What are the characteristics of bad teachers?," Certainly, bad teachers can be one of the main reasons why students hate school. These kinds of teachers can make school such a frustrating, embarrassing and a bad experience. I, personally, believe that out of all the bad characteristics a teacher can have, lack of classroom management, knowledge and commitment are among the worst that deprive students of better learning conditions. Class management can be the demise of any bad teacher no matter their intentions. If a teacher cannot control their students, they will not be able to teach them effectively. Being a good classroom manager starts on day one. A lack of classroom management is probably the single biggest downfall of a bad teacher. Unfortunately, there are some teachers who do not know the content well enough to teach it. This is an area that could be overcome through preparation. All teachers should thoroughly prepare for any lesson before they teach it to make sure they understand what they are going to be teaching. Teachers will lose credibility with their students quickly if they do not know what they are teaching. Of all the bad characteristics a bad teacher may have, non-commitment seems to be the worst. Not being commitment, teachers spend the minimum amount of time necessary to do their job never arriving early or staying late. They do not challenge their students and there is no creativity in their teaching. This destructive characteristic can easily kill motivation in students. There is no such thing as a perfect teacher, but since school is one of the most basic and important organs in which students spend most of their time, there is no doubt that teachers have a tremendous impact on them, so they must be experienced, committed, capable, and most importantly, love their job and their students.",8,8.5,8.5,8.5
7,Money can solve all problems. Do you agree or disagree? Why?," The power of money in solving important and fundamental problems of life is transient and permanent. There is a general belief, especially among poor people, that every problem can be solved by money. Having money is great; It is true that the role of it, in meeting some basic human needs is undeniable, but I personally believe that it is primitive and wrong to think that money is the solution to all problems, because there are some disease-related and emotion-based problems that cannot be met through money. There are various incurable and sometimes fatal diseases, which unfortunately cannot be cured even by paying a large amount of money. Diseases such as diabetes, AIDS, some cancers, mental illnesses such as schizophrenia and genetic diseases such as Down syndrome and autism have yet to be cured. Many people, all over the world, suffer from such diseases, but money cannot save or cure them. Not only physical illnesses but also many mental and emotional problems cannot be solved with money. For someone who feels lonely, money does not accompany or for those who suffer from depression, money does not bring happiness. There are those who got divorced and unfortunately no amount of money can ever fix relations between people. There are many mental and emotional problems that money can never solve. Overall, Money is just a tool which is used for living and making things easier, however, in fact, it does not solve all problems. Money will sort out financial stresses a person may have, but obviously it cannot buy him/her happiness and will not sort out all emotional and pathological problems; definitely it cannot buy a person contentment with his/herself. So, money may lessen problems, but it does not solve all.",9,9,8.5,9
8,What are the characteristics of bad teachers?," Certainly, bad teachers can be one of the main reasons why students hate school. These kinds of teachers can make school such a frustrating, embarrassing and a bad experience. I, personally, believe that out of all the bad characteristics a teacher can have, lack of classroom management, knowledge and commitment are among the worst that deprive students of better learning conditions. Class management can be the demise of any bad teacher no matter their intentions. If a teacher cannot control their students, they will not be able to teach them effectively. Being a good classroom manager starts on day one. A lack of classroom management is probably the single biggest downfall of a bad teacher. Unfortunately, there are some teachers who do not know the content well enough to teach it. This is an area that could be overcome through preparation. All teachers should thoroughly prepare for any lesson before they teach it to make sure they understand what they are going to be teaching. Teachers will lose credibility with their students quickly if they do not know what they are teaching. Of all the bad characteristics a bad teacher may have, non-commitment seems to be the worst. Not being commitment, teachers spend the minimum amount of time necessary to do their job never arriving early or staying late. They do not challenge their students and there is no creativity in their teaching. This destructive characteristic can easily kill motivation in students. There is no such thing as a perfect teacher, but since school is one of the most basic and important organs in which students spend most of their time, there is no doubt that teachers have a tremendous impact on them, so they must be experienced, committed, capable, and most importantly, love their job and their students.",8.5,8.5,8.5,8.5
9,Topic," Today the way we consider human psychology and mental development is heavily influenced by the genetic sciences. We now understand the importance of inherited characteristics more than ever before. Yet we are still unable to decide whether an individual’s personality and development are more influenced by genetic factors (nature) or by the environment (nurture).  Research, relating to identical twins, has highlighted how significant inherited characteristics can be for an individual's life. But whether these characteristics are able to develop within the personality of an individual surely depends on whether the circumstances allow such a development. It seems that the experiences we have in life are so unpredictable and so powerful, that they can boost or over-ride other influences, and there seems to be plenty of research findings to confirm this.  My own view is that there is no one major influence in a person's life. Instead, the traits we inherit from our parents and the situation and experiences that we encounter in life are constantly interacting. It is the interaction of the two that shapes a person's personality and dictates how that personality develops. If this were not true, we would be able to predict the behavior and character of a person from the moment they were born.  In conclusion, I do not think that either nature or nurture is the major influence on a person, but that both have powerful effects. How these factors interact is still unknown today and they remain largely unpredictable in a person’s life.",8.5,8,8.5,8.5
